"Narration","Date","Description","Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","tracking 1 Name","tracking 1 Option","tracking 2 Name","tracking 2 Option","Status","Trans #"
"PV202204001","08/04/2022",".","5131111",15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202206001","17/06/2022",".","9999",85.84,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202206001","17/06/2022",".","4200001",-85.84,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202206001","17/06/2022",".","1131103",12.88,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202206001","17/06/2022",".","9999",-12.88,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202206001","20/06/2022",".","9999",-8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202206001","20/06/2022",".","9999",8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202206001","20/06/2022",".","9999",-240,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202206001","20/06/2022",".","9999",240,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202206002","27/06/2022",".","9999",841.48,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202206002","27/06/2022",".","4200001",-841.48,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202206002","27/06/2022",".","1131103",126.21,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202206002","27/06/2022",".","9999",-126.21,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202206002","28/06/2022",".","9999",-100000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202206002","28/06/2022",".","5161101",102884.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
